H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Ube3d	6324.91	12518.69	13422.24	4841.25	7430.1	0.98	-0.39	-1.37
Ube4a	7346.08	4426.85	4539.79	6375.67	5855.12	-0.73	-0.2	0.53
Ube4b	23392.23	21710.15	25479.83	20737.75	20433.92	-0.11	-0.17	-0.07
Ubfd1	4927.91	8630.53	10896.77	4808.4	4809.38	0.81	-0.04	-0.84
Ubiad1	2951.38	6108.57	6532.73	3110.11	3285.46	1.05	0.08	-0.97
Ubl3	3937.88	6434.35	8167.45	4958.77	3894.01	0.71	0.33	-0.38
Ubl4a	2004.47	2874.39	2900.68	1684.75	1648.4	0.52	-0.25	-0.77
Ubl5	6140.08	9438.09	10335.12	7108.74	7867.92	0.62	0.21	-0.41
Ubl7	21818.37	31388.68	40487.5	22860.07	15554.24	0.52	0.07	-0.46
Ublcp1	9600.35	10629.08	12155.49	8020.37	7378.63	0.15	-0.26	-0.41
Ubn1	6133.55	10955.1	12325.9	7748.88	4762.35	0.84	0.34	-0.5
Ubn2	6386.04	10343.77	9838.91	7630.71	4348.06	0.7	0.26	-0.44
Ubox5	9342.65	10265.86	10372.3	9043.57	7541.81	0.14	-0.05	-0.18
Ubp1	6696.59	7961.02	7266.06	7162.58	5236.32	0.25	0.1	-0.15
Ubqln1	6089.51	13329.32	16122.01	8827.31	7046.63	1.13	0.54	-0.59
Ubqln2	2157.36	2911.03	3059.51	2526.8	2094.3	0.43	0.23	-0.2
Ubqln4	21045.98	33514.27	38774.76	29077.89	21418	0.67	0.47	-0.2
Ubr1	16714.49	15585.72	18969.05	12328.51	22983.24	-0.1	-0.44	-0.34
Ubr2	13437.45	16011.91	17086.88	11703.82	9786.06	0.25	-0.2	-0.45
Ubr4	7734.16	8150.39	7498.2	7552.93	6043.16	0.08	-0.03	-0.11
Ubr7	4550.52	8362.75	7269.7	5551.23	4147.84	0.88	0.29	-0.59
Ubtd1	54504.72	89875.59	114924.65	71617.09	61557.96	0.72	0.39	-0.33
Ubtf	26413.7	50265.35	48960.78	35050.03	20217.2	0.93	0.41	-0.52
Ubxn1	19016.97	22705.16	23955.08	19321.5	19766.3	0.26	0.02	-0.23
Ubxn11	6050.45	9247.19	8592.68	11617.4	7545.94	0.61	0.94	0.33
Ubxn2a	8479.11	10892.7	11308.47	9054.62	6619.36	0.36	0.09	-0.27
Ubxn2b	2143.62	2599.37	2850.51	2095.45	3170.78	0.28	-0.03	-0.31
Ubxn4	5078.67	6391.24	7290.42	4999.86	4997.7	0.33	-0.02	-0.35
Ubxn6	13909.3	16010.92	15246.42	20112.31	11132.04	0.2	0.53	0.33
Ubxn7	4702.59	5618.92	7888.03	4417.96	4252.84	0.26	-0.09	-0.35
Ubxn8	8866.81	10030.23	10779.68	8766.22	10837.98	0.18	-0.02	-0.19
Uchl1	880.96	1398.91	1857.54	1213.95	1027.77	0.67	0.46	-0.2
Uchl3	461.14	1065.09	1512.73	423.94	336.13	1.21	-0.12	-1.33
Uchl5	6108.17	9310.83	10502.07	6413.18	5211.2	0.61	0.07	-0.54
Uck1	6129.07	8878.62	8793.28	7959.48	5283.65	0.53	0.38	-0.16
Uck2	27862.44	42582.01	57088.48	37077.99	31701.13	0.61	0.41	-0.2
Uckl1	6642.5	9513.19	9724.42	8198.91	7521.98	0.52	0.3	-0.21
Ucp2	4763.56	5239.9	4993.62	10923.39	13209.71	0.14	1.2	1.06
Ufc1	14262.97	17832.78	22184.78	14961.05	15497.08	0.32	0.07	-0.25
Ufd1l	4252.17	4406.01	3923.57	3203.84	3384.82	0.05	-0.41	-0.46
Ufl1	2200.32	2779.36	3605.49	2006.25	1769.36	0.34	-0.13	-0.47
Ufm1	3410.14	3817.68	4515.73	2498.01	2812.95	0.16	-0.45	-0.61
Ufsp2	6525.42	5158.01	4678.77	4380.29	5314.22	-0.34	-0.58	-0.24
Ugcg	24769.07	21432.81	29517.03	24424.53	33435.63	-0.21	-0.02	0.19
Ugdh	20363.6	24724.22	22503.75	20510.67	25422.21	0.28	0.01	-0.27
Uggt1	2313.05	3635.45	4133.93	2125.5	2128.25	0.65	-0.12	-0.77
Ugp2	7550.78	9577.87	9173.96	8193.31	5509.4	0.34	0.12	-0.23
Ugt1a1	7312.03	9318.37	6484.66	9164.52	6586	0.35	0.33	-0.02
Ugt1a2	12086.23	13414.47	10075.16	12702.22	9836.8	0.15	0.07	-0.08
Ugt1a6	5735.1	7076.33	4876.95	7040.15	5010.34	0.3	0.3	-0.01
Ugt1a7c	4432.49	6029.33	3914.56	5989.03	4945.41	0.44	0.43	-0.01
Uhmk1	9607.76	17464.37	20323.02	10728.75	12952.25	0.86	0.16	-0.7
Uhrf1	20513.91	33016.84	37461.37	27054.19	26237.09	0.69	0.4	-0.29
Uhrf1bp1l	3813.39	7063.65	9264.85	4734.78	9100.33	0.89	0.31	-0.58
Uhrf2	6785.94	10395.77	13565.18	6883.31	8045.56	0.62	0.02	-0.59
Uimc1	6100.64	6541.39	7421.6	6434.64	4468.11	0.1	0.08	-0.02
Ulk1	15260.26	8090.34	7169.83	13603.39	9770.67	-0.92	-0.17	0.75
Ulk2	4734.68	6002.16	6351.25	5754.84	3386.7	0.34	0.28	-0.06
Ulk3	12113.09	18850.98	18246.1	16250.25	14055.34	0.64	0.42	-0.21
Umps	10497.74	11583	12258.58	13687.6	12620.33	0.14	0.38	0.24
Unc119	29022.4	44490.75	43625.38	34852.52	21471.08	0.62	0.26	-0.35
Unc119b	9316.63	12976.64	13472.68	10054.16	6218.21	0.48	0.11	-0.37
Unc13a	5922.88	8431	7434.26	9113.75	5557.35	0.51	0.62	0.11
Unc13b	9689.35	8568.09	8691.54	12157.44	11610.99	-0.18	0.33	0.5
Unc45a	11945.33	14739.95	15470.31	16356.51	13475.6	0.3	0.45	0.15
Unc50	3485.4	5896.2	6300.29	3407.27	3238.83	0.76	-0.03	-0.79
Unc5b	27626.57	29000.66	27748.49	31769.34	23493.96	0.07	0.2	0.13
Unc93b1	16573.06	15713.02	14748.42	26096.33	13947.38	-0.08	0.66	0.73
Ung	1934.25	3498.95	3447.94	2742.78	1210.68	0.86	0.5	-0.35
Upf2	6237.76	7977.2	8825.48	5760.48	5131.69	0.35	-0.11	-0.47
Upf3a	7411.3	11856.99	15033.05	8542.5	7255	0.68	0.2	-0.47
Upf3b	6272.73	7594.84	8040.03	5301.89	6533.45	0.28	-0.24	-0.52
Upk3bl	20815.72	16394.04	14166.18	25321.95	14133.08	-0.34	0.28	0.63
Upp1	5704.83	13641.15	16677.41	7190.98	14375.68	1.26	0.33	-0.92
Uqcc1	12371.76	14654.19	14986.43	14204.61	14501.15	0.24	0.2	-0.04
Uqcc2	5137.67	11941.77	22549.71	10012.33	12582.89	1.22	0.96	-0.25
Uqcr10	7813.1	9404.56	8993.81	12001.93	8692.74	0.27	0.62	0.35
Uqcr11	18948.94	27001.64	29794.01	19712.37	14377.6	0.51	0.06	-0.45
Uqcrb	5046.05	3919.38	3781.08	3522.4	3243.9	-0.36	-0.52	-0.15
Uqcrc1	2528.51	6336.87	8206.3	3628.97	3412.2	1.33	0.52	-0.8
Uqcrc2	15867.9	21855.54	24788.7	14434.98	16863.87	0.46	-0.14	-0.6
Uqcrfs1	17818.31	13166.96	14182.22	16013.25	14616.55	-0.44	-0.15	0.28
Uqcrh	12249.24	18613.46	20196.33	12215.49	11225.82	0.6	0	-0.61
Uqcrq	37693.85	36926.27	34556.16	36637.89	29426.49	-0.03	-0.04	-0.01
Urb1	8180.71	16567.47	20575.88	9163.73	9687.35	1.02	0.16	-0.85
Urgcp	12115.76	12797.72	17412.07	10749.23	11529.91	0.08	-0.17	-0.25
Uri1	3780.2	5458.66	5382.3	3702.78	3676.33	0.53	-0.03	-0.56
Urm1	10030.67	15850.98	16031.73	10952.42	8588.56	0.66	0.13	-0.53
Urod	5207.61	8570.01	10033.68	6982.71	6367.15	0.72	0.42	-0.3
Uros	9843.49	12918.61	14069.75	7234.28	6824.74	0.39	-0.44	-0.84
Usb1	5519.06	11217.55	11373.32	6766.26	4866.08	1.02	0.29	-0.73
Use1	22250.63	24460.11	24352.59	26925.45	21557.47	0.14	0.28	0.14
Usf1	18072.96	13888.95	17731.62	14038.69	11922.81	-0.38	-0.36	0.02
Usf2	9453.46	15717.35	17829.91	12629.73	8299.98	0.73	0.42	-0.32
Usmg5	13280.94	17465.12	21425.6	11058.8	12584.89	0.4	-0.26	-0.66
Uso1	9937.52	14152.92	15896.85	13642.93	10375.71	0.51	0.46	-0.05
Usp1	6878.4	9765.94	10627.82	8126.06	6388.15	0.51	0.24	-0.27
Usp10	4456.52	7718.51	8992.15	5329.24	3683.1	0.79	0.26	-0.53
Usp11	4129.32	6669.08	7755.53	4081.46	3685.56	0.69	-0.02	-0.71
Usp12	9452.57	8826.11	9490.94	9527.73	12966.66	-0.1	0.01	0.11
Usp13	2471.84	5267.59	6499.27	3352.44	2703.91	1.09	0.44	-0.65
Usp14	5014.85	6797.9	6976.27	4996.7	4415.84	0.44	-0.01	-0.44
Usp15	3480.07	6321.55	8859.02	4469.99	2960.14	0.86	0.36	-0.5
Usp16	7084.71	8563.8	10881.98	5814.46	8509.02	0.27	-0.29	-0.56
Usp18	3159.28	7193.17	7581.87	3860.34	3197.05	1.19	0.29	-0.9
Usp19	8366.2	11751.01	14104.54	9524.49	8891.36	0.49	0.19	-0.3
Usp2	15907.5	14943.89	15743.8	23547.89	10259.44	-0.09	0.57	0.66
Usp20	22623.16	27543.62	29587.07	24870.85	21932.79	0.28	0.14	-0.15
Usp21	14131.11	17418.19	21041	15495.83	14989.56	0.3	0.13	-0.17
Usp22	3844.65	7383.81	7792.71	4076.89	2913.33	0.94	0.08	-0.86
Usp24	13328.08	18453.48	24695.7	12187.53	13951.42	0.47	-0.13	-0.6
Usp25	4057.63	4959.17	5037.74	3500.41	3731.81	0.29	-0.21	-0.5
Usp28	3013.93	5722.71	6785.25	2556.39	2594.97	0.93	-0.24	-1.16
Usp3	9446.84	11403.72	11812.6	14555.71	12834.64	0.27	0.62	0.35
Usp30	1824.27	2309.75	3797.24	2640.1	2095.89	0.34	0.53	0.19
Usp34	6263.33	12273.89	14510.77	7641.44	4981.43	0.97	0.29	-0.68
Usp36	12308.37	20272.21	25421.48	14725.32	18137.53	0.72	0.26	-0.46
Usp39	21059.21	28094.17	31522.9	21967.52	19896.45	0.42	0.06	-0.35
Usp4	32766.99	33873.69	35783.82	33268.92	33942.01	0.05	0.02	-0.03
Usp40	5039.78	4044.98	3931.31	4746.65	4057.8	-0.32	-0.09	0.23
Usp42	7956.5	9695.49	9149.06	8204.49	7487.39	0.29	0.04	-0.24
Usp45	3873.94	6384.41	6172.45	4345.87	4644.61	0.72	0.17	-0.55
Usp46	12468	19139.28	21465.49	13163.65	15308.51	0.62	0.08	-0.54
Usp47	9093.28	11960.54	14933.16	8841.97	9605.26	0.4	-0.04	-0.44
Usp48	6841.25	8246.54	8537.31	6763.73	5669.73	0.27	-0.02	-0.29
Usp49	5125.4	5650.18	6149.5	6174.8	3966.7	0.14	0.27	0.13
Usp5	15658.13	21463.73	23402.42	19149.41	14946.46	0.45	0.29	-0.16
Usp53	7108.54	11118.04	11013.96	6771	10364.83	0.65	-0.07	-0.72
Usp54	15201.27	20157.37	25353.16	15301.07	18660.85	0.41	0.01	-0.4
Usp6nl	3057.54	5168.1	6913.96	3825.69	2897.25	0.76	0.32	-0.43
Usp7	2521.95	4328.17	3658.22	3517.32	1777.01	0.78	0.48	-0.3
Usp8	9769.58	9218.26	9735.09	7459.07	9441.2	-0.08	-0.39	-0.31
Usp9x	10944.65	10153.17	10050.11	10221.61	8818.4	-0.11	-0.1	0.01
Uspl1	17200.85	23738.97	24822.55	17142.33	16929.68	0.46	0	-0.47
Ust	6898.17	13190.92	22948.86	7198.81	8112.61	0.94	0.06	-0.87
Utp14a	4037.57	4688.48	4917.57	4023.55	2925.01	0.22	-0.01	-0.22
Utp15	3984.27	5354.62	5190.81	3590.34	4169	0.43	-0.15	-0.58
Utp18	6498.52	10058.31	10625.36	6201.87	4931.39	0.63	-0.07	-0.7
Utp20	4629.66	4882.46	5186.91	2889.01	3578.72	0.08	-0.68	-0.76
Utp23	5223.53	6249.52	6232.16	4486.82	5278.25	0.26	-0.22	-0.48
Utp3	8658.4	14922.25	19191.19	10365.57	8621.27	0.79	0.26	-0.53
Utrn	30993.12	22210.48	25973.33	32853.06	31632.84	-0.48	0.08	0.56
Uvrag	27068.64	15731.72	17226.75	21923.53	23498.78	-0.78	-0.3	0.48
Uvssa	12848.24	9980.6	10147.07	12409.86	10974.89	-0.36	-0.05	0.31
Uxs1	7572.67	8604.57	10405.14	5412.86	5679.09	0.18	-0.48	-0.67
Uxt	2284.43	2149.98	1446.02	1305.16	1598.47	-0.09	-0.81	-0.72
Vac14	19351.73	9617.64	9477.54	29505.8	14224.5	-1.01	0.61	1.62
Vamp1	7201.41	11898.51	10718.33	9301.2	7879.05	0.72	0.37	-0.36
Vamp2	39656.34	51945.69	55857.73	47183.92	33567.43	0.39	0.25	-0.14
Vamp3	4785.23	6178.87	4719.23	4319.66	3348.48	0.37	-0.15	-0.52
Vamp4	3070.6	6542.87	8758.98	3739.62	3158.78	1.09	0.28	-0.81
Vamp5	20144.35	28154.35	30808.57	23388.71	19861.32	0.48	0.22	-0.27
Vamp8	21176.8	26467.76	29631.56	21598.99	19861.84	0.32	0.03	-0.29
Vangl1	25627.47	30803.75	32927.33	29334.05	26808.92	0.27	0.19	-0.07
Vangl2	949.83	1010.43	893.72	815.09	473.7	0.09	-0.22	-0.31
Vapa	21989.63	22695.17	27188.08	19827.39	21231.39	0.05	-0.15	-0.19
Vapb	19889.89	32074.6	38117	24692.68	32443.62	0.69	0.31	-0.38
Vars	10948.3	19612.65	25633.12	15114.98	15285.67	0.84	0.47	-0.38
Vars2	14485.68	17738.32	21005.87	19470.45	13491.62	0.29	0.43	0.13
Vash2	3885.21	5929.09	6624.85	4894.94	3344.45	0.61	0.33	-0.28
Vasn	83787.79	102776.09	115529.83	94316.39	61198.87	0.29	0.17	-0.12
Vasp	28119.89	41881.62	46451.88	31245.68	18552.81	0.57	0.15	-0.42
Vat1	16381.12	20646.41	25838.25	17919.14	20059.46	0.33	0.13	-0.2
Vav2	13720.27	19403.59	21082.64	18638.05	11639.54	0.5	0.44	-0.06
Vav3	4480.3	3959.7	5330.54	5357.25	5941.84	-0.18	0.26	0.44
Vax2	5713.65	7653.24	6871.1	6890.61	4976.32	0.42	0.27	-0.15
Vcan	6403.84	8696.8	8427.92	8417.93	7542.52	0.44	0.39	-0.05
Vcl	55171.35	50055.54	52791.35	48375.53	53174.51	-0.14	-0.19	-0.05
Vcp	17677.34	21499.87	21938.35	19949.26	17723.08	0.28	0.17	-0.11
Vcpip1	11284.67	12678.55	11508.3	9070.21	11460.04	0.17	-0.32	-0.48
Vdac1	30790.3	43511.42	44036.08	36686.05	25283.06	0.5	0.25	-0.25
Vdac2	8496.42	14813.12	17620.19	9227.54	8888.61	0.8	0.12	-0.68
Vdac3	6378.51	7687.01	7634.51	6588.53	6493.41	0.27	0.05	-0.22
Vdr	9016.68	13411.59	17419.92	9302.46	9516.34	0.57	0.05	-0.53
Vegfa	11516.67	21882.97	25090.07	15126.29	10187.25	0.93	0.39	-0.53
Vegfb	34563.46	50299.1	53295.58	39673.95	36541.18	0.54	0.2	-0.34
Vegfc	18967.33	14437.81	22018.57	15935.96	27827.38	-0.39	-0.25	0.14
Veph1	2514.36	1502.47	2023.67	1634.78	1930.25	-0.74	-0.62	0.12
Vezf1	10704.97	14264.88	18917.99	13646.76	10365.51	0.41	0.35	-0.06
Vezt	3195.01	4208.74	6772.09	4003.27	3527.17	0.4	0.33	-0.07
Vgll4	54072.13	50079.68	61191.71	56358.02	56082.28	-0.11	0.06	0.17
Vhl	11962.79	18077.11	21017.95	15561.03	17138.17	0.6	0.38	-0.22
Vim	36527.93	35569.98	35196.18	31579.37	32002.86	-0.04	-0.21	-0.17
Vimp	6952.65	7614.51	7221.52	5349.16	5923.61	0.13	-0.38	-0.51
Vipas39	7019.13	11176.88	11463.97	6086.54	6688.48	0.67	-0.21	-0.88
Vipr1	1683.71	3134.88	3319.88	2727.05	2118.75	0.9	0.7	-0.2
Vipr2	4778.91	2341.14	1988.26	3866.81	2854.3	-1.03	-0.31	0.72
Vkorc1	15725.26	18248.29	21877.14	16630.77	15616.33	0.21	0.08	-0.13
Vkorc1l1	1642.07	2354.18	2760.76	1691.68	1013.63	0.52	0.04	-0.48
Vldlr	50431.86	33009.48	41832.75	37092.18	26602.18	-0.61	-0.44	0.17
Vmac	7928.4	11177.42	13232.37	10350.75	8001.1	0.5	0.38	-0.11
Vmp1	54763.25	44302.44	39208.23	53638.89	95669.27	-0.31	-0.03	0.28
Vof16	61488.35	67350.04	66797.03	51144.6	92964.15	0.13	-0.27	-0.4
Vopp1	3355.86	4755.85	6068.49	4164.32	4333.29	0.5	0.31	-0.19
Vprbp	3665.3	5043.94	4619.24	3305.87	3686.86	0.46	-0.15	-0.61
Vps11	13574.05	13178.95	11678.96	13783.08	11749.41	-0.04	0.02	0.06
Vps13a	7322.5	7431.81	8792.64	7658.53	5748.79	0.02	0.06	0.04
Vps13b	10526.12	7429.58	10918.86	6185.96	6981.45	-0.5	-0.77	-0.26
Vps13d	19564.39	20528.76	26436.11	24544.46	21067.46	0.07	0.33	0.26
Vps16	5165.22	9497.07	12820.34	5571.24	4964.34	0.88	0.11	-0.77
Vps18	2285.3	4388.33	4764.59	3005.51	2765.94	0.94	0.4	-0.55
Vps25	18285.18	26199.89	35266.74	22115.41	25153.25	0.52	0.27	-0.24
Vps26a	6688.21	9068.1	8422.27	6542.91	6259.58	0.44	-0.03	-0.47
Vps26b	19871.91	15531.81	18640.2	18175.12	9142.01	-0.36	-0.13	0.23
Vps28	14385.28	24641.14	25400.14	16913.69	14517.38	0.78	0.23	-0.54
Vps29	14375.28	14646.26	15999.33	21236.68	18248.41	0.03	0.56	0.54
Vps33a	3261.94	4929.57	5684.69	5460.94	4393.96	0.6	0.74	0.15
Vps33b	7688.82	7980.02	9957.87	10147.56	10160.11	0.05	0.4	0.35
Vps35	10640.61	10966.43	11262.39	12956.37	13220.83	0.04	0.28	0.24
Vps36	6601.27	7642.06	8623.96	8194.95	6695.61	0.21	0.31	0.1
Vps37a	4238.05	8085.17	9390.45	5070.35	3594.52	0.93	0.26	-0.67
Vps37b	28219.33	54248.39	69906.18	42273.46	38679.41	0.94	0.58	-0.36
Vps37c	25333.13	30982.4	32148.51	26792.05	22471.86	0.29	0.08	-0.21
Vps37d	1079.19	2094.97	2902.32	1963.22	1129.27	0.96	0.86	-0.09
Vps39	3525.14	3821.08	3928.15	3037.25	3707.26	0.12	-0.21	-0.33
Vps41	1204.8	1268.34	1662.21	1058.03	1603.41	0.07	-0.19	-0.26
Vps45	4580.46	5862.63	6919.23	4614.23	7119.22	0.36	0.01	-0.35
Vps4a	8227.44	13135.11	16879.06	9311.01	8106.52	0.67	0.18	-0.5
Vps4b	6334.54	7324.4	9462.5	5706.19	7347.69	0.21	-0.15	-0.36
Vps52	10464.69	18623.04	22350.76	13015.26	10631.17	0.83	0.31	-0.52
Vps53	8885.96	14688.99	17943.28	9718.91	10864.4	0.73	0.13	-0.6
Vps72	9076.73	11144.44	13883.98	8152.88	15015.65	0.3	-0.15	-0.45
Vps9d1	5888.27	11532.24	13582.21	7899.62	6498.29	0.97	0.42	-0.55
Vrk1	3164.07	2990.53	3254.69	3602.87	2667.4	-0.08	0.19	0.27
Vrk2	1734.68	3057.26	3827.44	1542.22	1634.24	0.82	-0.17	-0.99
Vrk3	4138.86	5184.08	5671.54	4149.41	3141.69	0.32	0	-0.32
Vsig10	18666.5	17806.7	23419.45	16109.06	11765.01	-0.07	-0.21	-0.14
Vsnl1	7941.61	7687.81	9379.89	9246.74	8928.78	-0.05	0.22	0.27
Vta1	1695.36	2604.64	3818.77	1662	2321.82	0.62	-0.03	-0.65
Vtcn1	987.24	1575.49	1779.01	1473.68	1815.38	0.67	0.58	-0.1
Vti1a	4829.49	8510	10677.28	5620.09	4488.85	0.82	0.22	-0.6
Vwa5b2	6537.33	10332.08	11695.32	7169.04	5080.33	0.66	0.13	-0.53
Vwa9	13238.44	17927.9	17853.73	12277.97	12184.36	0.44	-0.11	-0.55
Wac	7045.95	13128.45	15685.31	8574.94	6158.32	0.9	0.28	-0.61
Wars	4941.72	7043.12	7078.79	6581.39	5449.54	0.51	0.41	-0.1
Wars2	7636.64	7571.58	9599.01	6034.81	7344.02	-0.01	-0.34	-0.33
Wasf1	5510.22	6279.27	5558.49	5897.57	4404.69	0.19	0.1	-0.09
Wasf2	48235.89	58937.5	71818.6	66847.46	64757.58	0.29	0.47	0.18
Wasl	11778.96	10390.18	11840.2	9926.05	13044.34	-0.18	-0.25	-0.07
Wbp1l	28602.33	29040.25	37709.53	29023.07	48718.13	0.02	0.02	0
Wbp2	17161.98	24181.81	28017.83	21888.67	17401.84	0.49	0.35	-0.14
Wbp4	18799.49	22635.8	21519.11	21618.84	17952.51	0.27	0.2	-0.07
Wbscr16	8817.64	14219.72	19610.48	8305.5	8821.35	0.69	-0.09	-0.78
Wbscr17	6066.7	7093.38	8348.44	5328.96	4683.44	0.23	-0.19	-0.41
Wbscr22	2384.37	4055.17	6248.28	1679.09	1695	0.77	-0.51	-1.27
Wbscr27	29049.31	17917.67	17008.39	22840.96	9275.33	-0.7	-0.35	0.35
Wdfy1	6350.76	8903.06	11504.74	8712.47	7981.93	0.49	0.46	-0.03
Wdfy2	22328.13	20756.99	18752.98	21786.22	20806.05	-0.11	-0.04	0.07
Wdhd1	7437.87	8110.22	9496.41	7328.74	9404.92	0.12	-0.02	-0.15
Wdpcp	2771.66	3030.48	2825.67	2391.1	1373.49	0.13	-0.21	-0.34
Wdr1	9669.05	18946.07	23383.75	11099.87	9544.04	0.97	0.2	-0.77
Wdr12	7022.83	9385.52	11290.53	5637.3	6344.51	0.42	-0.32	-0.74
Wdr13	4222.22	5073.94	6166.02	4524.8	3708.94	0.27	0.1	-0.17
Wdr18	15145.55	21711.43	30079.29	24191.97	15813.53	0.52	0.68	0.16
Wdr19	3052.5	2545.55	2554.48	2939.79	2897.1	-0.26	-0.05	0.21
Wdr20	7226.97	10831.12	12508.25	8367.16	6644.54	0.58	0.21	-0.37
Wdr24	10258.87	11823.12	13303.7	13415.97	10321.58	0.2	0.39	0.18
Wdr26	14106.22	19239.63	24152.65	16269.49	13037.42	0.45	0.21	-0.24
Wdr3	2163.32	3987.76	4441.09	2369.89	1440.76	0.88	0.13	-0.75
Wdr31	2208.6	2409.83	2090.52	4361.01	4634.88	0.13	0.98	0.86
Wdr33	9631.05	11991.1	13134.05	9351.13	7761.82	0.32	-0.04	-0.36
Wdr34	18173.7	29020.47	35539.43	19974.16	16582.18	0.68	0.14	-0.54
Wdr37	10447.38	14063.73	16400.05	9001.77	11961.56	0.43	-0.21	-0.64
Wdr4	8558.02	10475.05	12829.04	9990.71	8320.17	0.29	0.22	-0.07
Wdr41	2668.28	4961.39	5443.35	3102.13	2314.9	0.89	0.22	-0.68
Wdr43	7890.33	12162.44	16873.01	7066.27	6590.77	0.62	-0.16	-0.78
Wdr44	2217.59	2514.56	2772.27	2029.7	2136.97	0.18	-0.13	-0.31
Wdr45	12424.74	16686.18	17821.46	15698.34	13636.9	0.43	0.34	-0.09
Wdr45b	5553.15	8062.07	9348.98	5476.8	4019.83	0.54	-0.02	-0.56
Wdr46	10536.9	16012.92	17285.53	11170.83	10044.01	0.6	0.08	-0.52
Wdr47	7170.32	8376.46	9453.26	6121.67	5393.62	0.22	-0.23	-0.45
Wdr48	8591.31	10238.57	11478.27	6435.27	4110.21	0.25	-0.42	-0.67
Wdr5	19380.56	21635.51	22316.73	18254.34	14926.94	0.16	-0.09	-0.25
Wdr53	2261.46	2434.66	3175.15	1904.36	1746.38	0.11	-0.25	-0.35
Wdr55	7693.16	9344.95	8835.98	9668.01	10384.17	0.28	0.33	0.05
Wdr5b	4229.96	4580.16	4370.79	4774.6	4722.49	0.11	0.17	0.06
Wdr6	7234.49	8558.29	10480.98	11018.13	9390.99	0.24	0.61	0.36
Wdr60	18375.14	18914.84	21120.97	14690.01	16915.52	0.04	-0.32	-0.36
Wdr61	4027.79	4254.27	3955.63	4155.74	3309.58	0.08	0.05	-0.03
Wdr62	4175.11	5676.55	5548.5	5018.14	3926.46	0.44	0.27	-0.18
Wdr70	1261.88	1840.26	2056.14	1181.28	1195.85	0.54	-0.1	-0.64
Wdr73	4208.71	4068.54	5191.15	4412.08	4648.88	-0.05	0.07	0.12
Wdr74	29491.07	30970.25	26736.1	27108.09	25473.81	0.07	-0.12	-0.19
Wdr78	8200.93	8947.17	10129.45	8430.94	6524.35	0.13	0.04	-0.09
Wdr81	45830.85	50954.96	58343.19	47347.28	33250.23	0.15	0.05	-0.11
Wdr83	11311.34	13147.07	14464.78	11822.52	12547.76	0.22	0.06	-0.15
Wdr83os	11174.67	13008.22	14373.17	11715.92	12388.32	0.22	0.07	-0.15
Wdr91	1404.15	2033.9	2691.66	1837.06	2569.78	0.53	0.39	-0.15
Wdr92	5157.68	7125.11	7265.11	4730.28	3955.58	0.47	-0.12	-0.59
Wdsub1	2135.59	2371.26	3082.84	1967.72	1921.82	0.15	-0.12	-0.27
Wdtc1	3681.95	4406.38	6231.8	5458.19	2913.3	0.26	0.57	0.31
Wdyhv1	3876.74	5246.65	4889.04	4125.01	3989.48	0.44	0.09	-0.35
Wee1	21625.37	19541.1	20751.4	20332.66	20479.87	-0.15	-0.09	0.06
Wfdc1	10696.86	6603.78	6371.82	7634.22	2898.66	-0.7	-0.49	0.21
Wfdc2	6739.89	11057.57	12873.88	10481.45	11360.01	0.71	0.64	-0.08
Whamm	6704.85	9443.38	10305.77	6269.59	5893.21	0.49	-0.1	-0.59
Whsc1l1	15340.97	16344.03	19161.63	18022.89	17279.88	0.09	0.23	0.14
Wipf1	16316.86	13165.32	13566.23	16715.84	20353.57	-0.31	0.03	0.34
Wipf3	8130.05	6431.67	10258.61	9201.31	7814.75	-0.34	0.18	0.52
Wipi1	9698.4	14822.56	17093.4	12118.86	12642.36	0.61	0.32	-0.29
Wipi2	3406.64	7021.75	7801.32	3335.68	3526.94	1.04	-0.03	-1.07
Wisp1	30255.34	30764.5	39615.1	32029.28	52615.3	0.02	0.08	0.06
Wisp2	80195.66	47498.75	52488.93	82168.44	53709.01	-0.76	0.04	0.79
Wiz	13008.51	15190.94	17889.31	17396.56	16886.97	0.22	0.42	0.2
Wls	27554.71	19912.27	26799.9	22381.87	42799.54	-0.47	-0.3	0.17
Wnk1	13188.21	16979.84	15413.59	11125.91	11467.51	0.36	-0.25	-0.61
Wnk4	16073.48	23970.59	33296.54	21236.91	21862.15	0.58	0.4	-0.17
Wnt1	7775.43	15092.59	21000.08	10152.03	9142.82	0.96	0.38	-0.57
Wnt10b	7390.27	14621.16	20318.53	10726.49	8990.58	0.98	0.54	-0.45
Wnt4	3556.63	2836.24	2924.75	4078.8	3275.14	-0.33	0.2	0.52
Wnt9a	3622.88	3465.13	4759.15	6239.47	2422.64	-0.06	0.78	0.85
Wrap53	12562.24	13489.84	13619.37	12876.91	12884.13	0.1	0.04	-0.07
Wrap73	1768.07	3330.88	3614.17	2191.31	1716.84	0.91	0.31	-0.6
Wrb	4206.76	3626.74	4813.51	5284.45	3610.83	-0.21	0.33	0.54
Wrnip1	6100.39	10170.73	11814.71	6555.65	5678.09	0.74	0.1	-0.63
