NM_001035238	Csnk2b
NM_001107238	Tmed4
NM_001013155	Shoc2
NM_001012162	Mllt10
NM_001039037	Zdhhc13
NM_001109297	Tusc2
NM_001107879	Rybp
NM_001008343	Timm21
NM_001009686	Dcaf11
NM_001025066	Apol9a
NM_021594	Slc9a3r1
NM_001106073	Lsm4
NM_001014250	Atg5
NM_012495	Aldoa
NM_019621	Dlg4
NM_001013231	Pea15
NM_031147	Cirbp
NM_031028	Gabbr1
NM_001013974	Ccdc47
NM_031603	Ywhae
NM_001008306	Calhm2
NM_001105838	Klhl11
NM_001013042	Slc39a11
NM_001037208	Creld2
NM_022623	Fzd4
NM_001191865	Ripk2
NM_001105926	Dhx37
NM_001286936	Zfpl1
NM_012814	Cox6a1
NM_053760	Trafd1
NM_001017487	Bri3bp
NM_024487	Grpel1
NR_031876	Mir130a
NM_001047115	Crtc1
NM_001008766	Ciao1
NM_031092	Rab13
NM_001109571	Polr3gl
NM_001039021	Zdhhc8
NM_001107695	Vps72
NM_001191564	Dip2a
NM_001110345	Ube2v1
NM_031323	Bmp1
NM_001170462	Sema4b
NM_001115022	Commd1
NM_001130505	Ndufa6
NM_080896	Hnrnph1
NM_001105864	Scarf2
NM_017101	Ppia
NM_001106848	Rnf7
NM_001011992	Atp6v1c1
NM_001037647	Unc45a
NM_012498	Akr1b1
NM_001012157	Cog3
NM_001108786	Csrnp1
NM_001105903	Mcoln1
NM_177927	Serpinf1
NM_001012106	Mad2l2
NM_053610	Prdx5
NM_001025734	Tada3
NM_031803	Gmeb2
NM_001007637	mrpl24
NM_001012160	Gkap1
NM_001126296	Tra2a
NM_001135866	Rft1
NM_012886	Timp3
NM_031143	Dgkz
NM_001165922	Lsm2
NM_080697	Dynll2
NM_001024904	Ccdc71
NM_053615	Csnk1a1
NM_001013061	Aprt
NM_001005560	Pla2g6
NM_001130571	Cpsf1
NM_001109111	Wwc2
NM_001168633	Irs2
NM_019286	Adh1
NM_001191618	Tspyl2
NM_001107545	Ipo7
NM_022187	Plk3
NM_001009264	Mrfap1
NM_001024885	Ccdc90b
NM_001271067	Myo9b
NM_001007699	Cept1
NM_019149	Matr3
NM_001014229	Stard3
NR_028055	Ngrn
NM_001100539	Sdhb
NM_001134429	Fkbp2
NM_001107220	Anapc4
NM_001134565	Trak1
NM_001013055	Rpp40
NM_001107297	Arhgap22
NM_001164297	Plec
NM_001012208	Pycr2
NM_053576	Prdx6
NM_001271596	Mms19
NM_001044236	Kdm4b
NM_053969	Gps1
NM_013223	Eif2ak1
NM_001105809	Dph1
NM_031528	Rara
NM_001004098	Cenpc
NM_001107646	Ap3b1
NM_001108608	B4galt5
NM_001107200	Ptpn14
NM_001106097	Med10
NM_001106177	Hsf4
NM_001008765	Igtp
NM_001005879	Gfpt1
NM_001105731	Prkg1
NM_177426	Gstm2
NM_001039027	Wdr18
NM_001014014	Fam192a
NM_001011915	Fermt2
NM_001277235	Sec23b
NM_001109545	Atg2a
NM_024488	Cdk5rap3
NM_031359	Mkln1
NM_001009708	Lmo4
NM_001106430	Mgst2
NM_001109445	Gstz1
NM_001127600	Aida
NM_001013033	Tspyl1
NM_001107257	Fbxo34
NM_001172127	Ube2h
NM_053772	Pkia
NM_001106992	Cpeb4
NM_031522	Neu1
NM_001106405	Cd180
NM_001107690	Fam189b
NM_001100470	Nup153
NM_031624	Igbp1
NM_001004442	Pdia6
NM_001106491	RGD1309730
NM_001014085	Maf1
